"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-sessile,Monacanthidae,-,"0.137
[0.056, 0.279]","0.381
[0.175, 0.572]","0.398
[0.247, 0.582]","0.062
[0.003, 0.215]"
invertivores-sessile,Monacanthidae,Amanses scopas,"0.17
[0.065, 0.274]","0.342
[0.165, 0.509]","0.404
[0.285, 0.5]","0.07
[0.003, 0.283]"
invertivores-sessile,Tetraodontidae,-,"0.111
[0.026, 0.217]","0.358
[0.162, 0.538]","0.454
[0.295, 0.724]","0.05
[0.002, 0.174]"
invertivores-sessile,Tetraodontidae,Arothron meleagris,"0.068
[0.016, 0.159]","0.235
[0.13, 0.361]","0.646
[0.512, 0.761]","0.035
[0.002, 0.153]"
invertivores-sessile,Zanclidae,-,"0.131
[0.046, 0.273]","0.376
[0.184, 0.564]","0.414
[0.266, 0.617]","0.056
[0.003, 0.194]"
invertivores-sessile,Zanclidae,Zanclus cornutus,"0.141
[0.036, 0.285]","0.313
[0.169, 0.452]","0.478
[0.362, 0.575]","0.05
[0.002, 0.207]"
macrocarnivores,-,-,"0.092
[0.035, 0.189]","0.126
[0.044, 0.244]","0.333
[0.212, 0.452]","0.435
[0.285, 0.611]"
macrocarnivores,Apogonidae,-,"0.086
[0.017, 0.231]","0.119
[0.022, 0.333]","0.383
[0.169, 0.644]","0.367
[0.126, 0.671]"
macrocarnivores,Apogonidae,Cheilodipterus macrodon,"0.08
[0.012, 0.215]","0.112
[0.017, 0.35]","0.471
[0.197, 0.632]","0.307
[0.086, 0.665]"
macrocarnivores,Aulostomidae,-,"0.107
[0.022, 0.308]","0.123
[0.031, 0.321]","0.409
[0.21, 0.664]","0.321
[0.104, 0.584]"
macrocarnivores,Aulostomidae,Aulostomus chinensis,"0.129
[0.017, 0.303]","0.125
[0.027, 0.28]","0.527
[0.395, 0.641]","0.194
[0.067, 0.407]"
macrocarnivores,Belonidae,-,"0.088
[0.015, 0.306]","0.119
[0.022, 0.357]","0.34
[0.095, 0.636]","0.399
[0.147, 0.752]"
macrocarnivores,Belonidae,Tylosurus crocodilus,"0.084
[0.009, 0.378]","0.11
[0.014, 0.428]","0.351
[0.06, 0.688]","0.372
[0.095, 0.808]"
macrocarnivores,Bothidae,-,"0.073
[0.012, 0.216]","0.103
[0.017, 0.296]","0.193
[0.039, 0.421]","0.59
[0.318, 0.881]"
macrocarnivores,Bothidae,Bothus mancus,"0.049
[0.007, 0.174]","0.069
[0.008, 0.272]","0.084
[0.018, 0.191]","0.773
[0.534, 0.938]"
