id,year,type,species,tl,sl,weight,d15N,d13C
EP_IN_MO_03_16_004,2016,Fishes,Epibulus insidiator,20.411099999999998,17.288,133.6,13.6626383647191,-15.1500801035478
EP_IN_MO_03_16_005,2016,Fishes,Epibulus insidiator,18.9088,16.355,114.4,10.411023372938,-11.3507628424995
EP_IN_MO_03_16_006,2016,Fishes,Epibulus insidiator,15.6597,13.279499999999999,56.3,13.1501124651,-14.5827804287889
EP_ME_MO_03_16_001,2016,Fishes,Epinephelus merra,24.2292,20.6258,172.6,12.2084348521183,-12.3374284036062
EP_ME_MO_03_16_002,2016,Fishes,Epinephelus merra,21.3249,18.0914,134,11.0142903449529,-11.4245031244538
EP_ME_MO_03_16_003,2016,Fishes,Epinephelus merra,20.3415,17.7563,177.7,11.7174867366308,-12.1111012783813
EP_ME_MO_03_16_004,2016,Fishes,Epinephelus merra,18.1678,15.4329,85.4,10.8803954043654,-10.6824113003991
EP_ME_MO_03_16_005,2016,Fishes,Epinephelus merra,17.0706,14.439599999999999,77,10.8684936318687,-11.4952303510866
EP_ME_MO_03_16_006,2016,Fishes,Epinephelus merra,17.0017,14.4697,69,10.4737515107293,-10.8684783120022
EP_ME_MO_03_16_007,2016,Fishes,Epinephelus merra,15.3821,13.074700000000002,56,10.1206655933283,-10.6258295190928
EP_ME_MO_03_16_008,2016,Fishes,Epinephelus merra,15.539599999999998,13.112200000000001,52.8,10.546153960084,-12.024052384064
EP_ME_MO_03_16_009,2016,Fishes,Epinephelus merra,14.863399999999999,12.4874,40.4,10.1226492220777,-11.4462653480331
EP_ME_MO_03_16_010,2016,Fishes,Epinephelus merra,13.4966,11.4851,38.4,10.2436505757938,-11.9739992698316
EP_ME_MO_03_16_011,2016,Fishes,Epinephelus merra,12.6516,11.0402,31.3,9.71898077156583,-10.7749007506112
EP_ME_MO_03_16_012,2016,Fishes,Epinephelus merra,12.5265,10.7,26.9,9.08322775736897,-10.3244227225193
EP_ME_MO_03_16_013,2016,Fishes,Epinephelus merra,13.769300000000001,12.1476,35.8,9.80030955029304,-10.8706545343602
EP_ME_MO_03_16_016,2016,Fishes,Epinephelus merra,11.9466,10.2453,25.4,9.54144599849058,-10.3048367212979
EP_ME_MO_03_16_017,2016,Fishes,Epinephelus merra,12.079699999999999,10.060599999999999,23.6,9.54442144161474,-11.2819605600093
EP_ME_MO_03_16_018,2016,Fishes,Epinephelus merra,10.8138,9.145199999999999,17.6,9.38672295603393,-11.1176557719854
EP_ME_MO_03_16_019,2016,Fishes,Epinephelus merra,12.5685,10.6034,24.7,9.17546649421813,-9.93705514280742
FI_CO_MO_03_16_001,2016,Fishes,Fistularia commersonii,25.1398,19.7478,2.8,9.55053501535695,-17.0290614562068
